iter	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
144	0.17035	0.0401643	0.510735	0.109848	0.108234	4.118203e+00	-3.342889e+01	-2.931068e+01
146	0.17035	0.0401643	0.510735	0.109848	0.108981	4.118203e+00	-3.329609e+01	-2.917789e+01
148	0.17035	0.0401643	0.510735	0.107126	0.109046	4.118203e+00	-3.615445e+01	-3.203625e+01
150	0.159527	0.0401643	0.519321	0.108044	0.109046	4.124687e+00	-3.335502e+01	-2.923033e+01
152	0.159527	0.0401643	0.519321	0.108076	0.109046	4.124687e+00	-3.332079e+01	-2.919610e+01
154	0.159527	0.0401643	0.538095	0.108802	0.0957948	4.124687e+00	-3.355400e+01	-2.942931e+01
156	0.160126	0.0401643	0.538095	0.108243	0.102786	4.124339e+00	-3.340914e+01	-2.928480e+01
158	0.160126	0.0401643	0.538095	0.108488	0.102786	4.124339e+00	-3.313194e+01	-2.900760e+01
160	0.163803	0.0401643	0.538095	0.108173	0.099964	4.122176e+00	-3.465118e+01	-3.052901e+01
162	0.153075	0.0401643	0.538095	0.108173	0.101293	4.128328e+00	-3.362936e+01	-2.950103e+01
164	0.166817	0.0401643	0.538095	0.105961	0.103197	4.120365e+00	-3.789752e+01	-3.377715e+01
166	0.171981	0.0401643	0.538095	0.106239	0.106367	4.117191e+00	-3.956731e+01	-3.545012e+01
168	0.171981	0.0401643	0.538095	0.106235	0.105198	4.117191e+00	-3.973611e+01	-3.561891e+01
170	0.171981	0.0401643	0.538095	0.105855	0.108842	4.117191e+00	-3.972738e+01	-3.561019e+01
172	0.156752	0.0401643	0.538095	0.105956	0.108842	4.126275e+00	-3.540883e+01	-3.128256e+01
174	0.151635	0.0401643	0.538095	0.107006	0.107987	4.129115e+00	-3.479064e+01	-3.066152e+01
176	0.157956	0.0401643	0.538095	0.107588	0.0984083	4.125590e+00	-3.440593e+01	-3.028034e+01
178	0.157956	0.0401643	0.538095	0.107588	0.104361	4.125590e+00	-3.379746e+01	-2.967187e+01
180	0.151338	0.0401643	0.538095	0.107588	0.107929	4.129276e+00	-3.417245e+01	-3.004317e+01
182	0.162806	0.0401643	0.538095	0.107588	0.10767	4.122768e+00	-3.424449e+01	-3.012172e+01
184	0.16162	0.0401643	0.538095	0.108309	0.0981818	4.123467e+00	-3.415987e+01	-3.003640e+01
186	0.15127	0.0401643	0.541558	0.108309	0.0913508	4.129312e+00	-3.499511e+01	-3.086579e+01
188	0.15127	0.0401643	0.560141	0.109486	0.106536	4.129312e+00	-3.473516e+01	-3.060585e+01
190	0.167007	0.0401643	0.560141	0.109486	0.107939	4.120250e+00	-3.962830e+01	-3.550805e+01
192	0.15416	0.0401643	0.525803	0.109486	0.106726	4.127729e+00	-3.215381e+01	-2.802608e+01
194	0.15416	0.0401643	0.548816	0.109486	0.0903207	4.127729e+00	-3.388083e+01	-2.975310e+01
196	0.15416	0.0401643	0.548816	0.109869	0.0990309	4.127729e+00	-3.250763e+01	-2.837990e+01
198	0.15416	0.0401643	0.533823	0.10807	0.0934792	4.127729e+00	-3.479710e+01	-3.066937e+01
200	0.15416	0.0401643	0.529518	0.10807	0.105521	4.127729e+00	-3.346130e+01	-2.933357e+01
