iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
82	0.347661	0.489213	0.210932	0.0334788	0.409928	0.109909	0.1071	7.060162e+00	-1.976942e+02	-1.906340e+02
83	0.347661	0.489213	0.232196	0.0334788	0.409928	0.109909	0.106271	7.045085e+00	-1.978392e+02	-1.907941e+02
84	0.274431	0.697757	0.232196	0.0334788	0.409928	0.109819	0.106271	5.843218e+00	-1.981707e+02	-1.923275e+02
85	0.274431	0.466915	0.232196	0.0334788	0.409928	0.109819	0.106271	6.631350e+00	-1.981707e+02	-1.915393e+02
86	0.274431	0.988571	0.232196	0.0334788	0.409928	0.109937	0.106271	5.320281e+00	-1.977348e+02	-1.924145e+02
87	0.274431	0.540662	0.222418	0.0334788	0.409928	0.109937	0.108674	6.313975e+00	-1.957787e+02	-1.894648e+02
88	0.406347	0.540662	0.222418	0.0334788	0.411615	0.109839	0.108674	7.198811e+00	-1.961204e+02	-1.889216e+02
89	0.406347	0.540662	0.222418	0.0334788	0.411615	0.109839	0.108674	7.198811e+00	-1.961204e+02	-1.889216e+02
90	0.406347	0.590856	0.222418	0.0334788	0.411615	0.109839	0.108674	6.881303e+00	-1.961204e+02	-1.892391e+02
91	0.406347	0.590856	0.222418	0.0334788	0.411615	0.109746	0.108674	6.881303e+00	-1.964667e+02	-1.895854e+02
92	0.406347	0.979441	0.222418	0.0334788	0.414216	0.109746	0.108674	5.747950e+00	-1.965471e+02	-1.907991e+02
93	0.284369	0.979441	0.222418	0.0334788	0.414216	0.109746	0.107073	5.368113e+00	-1.972288e+02	-1.918607e+02
94	0.284369	0.894626	0.222418	0.0334788	0.414216	0.109746	0.107073	5.498249e+00	-1.972288e+02	-1.917306e+02
95	0.284369	0.637165	0.222418	0.0334788	0.413081	0.108559	0.107073	6.046239e+00	-2.017121e+02	-1.956659e+02
96	0.284369	0.597721	0.222418	0.0334788	0.413081	0.108569	0.107073	6.164801e+00	-2.016700e+02	-1.955052e+02
97	0.405023	0.597721	0.222418	0.0334788	0.413081	0.108569	0.107073	6.835643e+00	-2.016700e+02	-1.948344e+02
98	0.405023	0.597721	0.222418	0.0334788	0.413081	0.109475	0.108652	6.835643e+00	-1.975228e+02	-1.906871e+02
99	0.405023	0.597721	0.222418	0.0334788	0.413081	0.109696	0.108652	6.835643e+00	-1.966920e+02	-1.898564e+02
100	0.405023	0.597721	0.222418	0.0334788	0.413081	0.109998	0.108652	6.835643e+00	-1.955657e+02	-1.887301e+02
101	0.405023	0.506976	0.222418	0.0334788	0.413081	0.109998	0.108652	7.472257e+00	-1.955657e+02	-1.880935e+02
102	0.405023	0.638321	0.214461	0.0334788	0.413081	0.109832	0.108652	6.650075e+00	-1.964460e+02	-1.897960e+02
103	0.405023	0.45844	0.214461	0.0334788	0.41571	0.109975	0.106967	8.124247e+00	-1.965475e+02	-1.884232e+02
104	0.405023	0.45844	0.214461	0.0334788	0.41571	0.109975	0.108719	8.124247e+00	-1.958396e+02	-1.877153e+02
105	0.405023	0.79939	0.214461	0.0334788	0.41571	0.109975	0.108025	6.125109e+00	-1.961144e+02	-1.899893e+02
106	0.258486	0.657947	0.225249	0.0334788	0.41571	0.109975	0.109841	5.884470e+00	-1.955535e+02	-1.896690e+02
107	0.357773	0.657947	0.225249	0.0334788	0.411412	0.109951	0.10924	6.313975e+00	-1.955749e+02	-1.892609e+02
108	0.333791	0.657947	0.225249	0.0334788	0.401127	0.109951	0.10962	6.200451e+00	-1.961314e+02	-1.899309e+02
109	0.323319	0.657947	0.222393	0.0334788	0.408734	0.109951	0.107877	6.155091e+00	-1.961499e+02	-1.899949e+02
110	0.323319	0.751648	0.222393	0.0334788	0.408734	0.109949	0.107877	5.908219e+00	-1.961560e+02	-1.902478e+02
111	0.321747	0.623332	0.222393	0.0334788	0.408734	0.109949	0.107877	6.256738e+00	-1.961560e+02	-1.898993e+02
112	0.321747	0.467755	0.222393	0.0334788	0.408734	0.109949	0.107877	6.982127e+00	-1.961560e+02	-1.891739e+02
113	0.365187	0.536094	0.222393	0.0334788	0.424929	0.109949	0.107877	6.890858e+00	-1.977266e+02	-1.908357e+02
114	0.363025	0.536094	0.222393	0.0334788	0.424929	0.109949	0.108512	6.874889e+00	-1.975072e+02	-1.906323e+02
115	0.309114	0.536094	0.222393	0.0334788	0.424929	0.109949	0.10957	6.522475e+00	-1.971526e+02	-1.906301e+02
116	0.362041	0.919219	0.222393	0.0334788	0.405233	0.109949	0.108557	5.704151e+00	-1.961558e+02	-1.904517e+02
117	0.362041	0.99941	0.222393	0.0334788	0.405233	0.109949	0.109499	5.569688e+00	-1.956968e+02	-1.901271e+02
118	0.362041	0.512337	0.222393	0.0334788	0.405233	0.109949	0.109499	7.014425e+00	-1.956968e+02	-1.886823e+02
119	0.362041	0.621763	0.222393	0.0334788	0.405233	0.109949	0.107319	6.467425e+00	-1.967828e+02	-1.903154e+02
120	0.394047	0.621763	0.218012	0.0334788	0.405233	0.109949	0.109346	6.653512e+00	-1.961027e+02	-1.894492e+02
121	0.394047	0.541192	0.226301	0.0334788	0.402419	0.109949	0.109114	7.084308e+00	-1.961755e+02	-1.890912e+02
122	0.394047	0.653698	0.226301	0.0334788	0.410954	0.109949	0.10756	6.516387e+00	-1.963978e+02	-1.898814e+02
123	0.401206	0.638549	0.226301	0.0334788	0.410954	0.109949	0.106328	6.618105e+00	-1.969833e+02	-1.903652e+02
124	0.401206	0.471936	0.226301	0.0334788	0.404031	0.109949	0.10538	7.828735e+00	-1.979668e+02	-1.901381e+02
125	0.401206	0.471936	0.226301	0.0334788	0.404031	0.109949	0.109415	7.828735e+00	-1.958208e+02	-1.879921e+02
126	0.401206	0.471936	0.226301	0.0334788	0.411872	0.109949	0.109864	7.828735e+00	-1.954093e+02	-1.875805e+02
127	0.401206	0.471936	0.226301	0.0334788	0.411872	0.109949	0.109864	7.828735e+00	-1.954093e+02	-1.875805e+02
128	0.401206	0.471936	0.226301	0.0334788	0.411872	0.109949	0.107474	7.828735e+00	-1.964606e+02	-1.886319e+02
129	0.401206	0.471936	0.226301	0.0334788	0.418465	0.109949	0.107474	7.828735e+00	-1.971107e+02	-1.892820e+02
